question_id,question_type,question,gold_answer,generated_answer,faithfulness,relevance,completeness,citation_quality,avg_score,num_retrieved,num_cited,explanation,chunk_config,embedding_model,llm_model
0,factual,What is the first section listed in the FOOTWEAR FALL 23 CONTENTS?,RUN SIGNATURE,The first section listed in the FOOTWEAR FALL 23 CONTENTS is RUN SIGNATURE.,5,5,5,5,5.0,5,1,"The generated answer is completely supported by the retrieved context, accurately stating that 'RUN SIGNATURE' is the first section listed. It directly addresses the question asked, covers all key points from the gold answer, and the citation is accurate and properly placed.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
1,factual,What technology does the updated Adrenaline GTS 23 feature to support the body’s natural motion path?,"The updated Adrenaline GTS 23 features the innovative, holistic GuideRails® System.","The updated Adrenaline GTS 23 features the GuideRails® holistic support system, which supports the body in its natural motion path while keeping excess movement in check. This technology is designed to provide necessary support during runs, aligning the body properly for a smoother experience.",5,5,5,5,5.0,5,3,"The generated answer is fully supported by the retrieved context, accurately reflecting the key feature of the Adrenaline GTS 23. It directly addresses the question regarding the technology that supports the body's natural motion path, and all citations are accurate and appropriately placed.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
2,factual,What features does the High Point Waterproof Pant offer?,The High Point Waterproof Pant features 14k/14k-rated breathable waterproof protection.,"The High Point Waterproof Pant features 14k/14k-rated breathable waterproof protection, making it ideal for stormy weather.",5,5,5,4,4.75,5,2,"The generated answer is fully supported by the retrieved context, accurately reflecting the features of the High Point Waterproof Pant without any unsupported claims. It directly addresses the question and covers all key points from the gold answer. However, the citation quality is slightly lower because the cited chunks do not include the specific feature mentioned in the answer, even though the information is accurate.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
3,factual,What are the three types of running shoes described in the text?,"Cushion shoes, Energize shoes, and Speed shoes.","The three types of running shoes described in the text are: 1) Cushion shoes, which deliver super softness for comfort; 2) Energize shoes, which maximize energy return for performance; and 3) Speed shoes, which are designed for lightweight performance to help runners achieve faster times.",5,5,5,3,4.5,5,1,"The generated answer accurately lists the three types of running shoes as described in the gold answer, providing additional context about each type. It directly addresses the question asked and covers all key points. However, the citation quality is rated lower because the cited chunk does not explicitly support the detailed descriptions provided in the answer.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
4,factual,What is the main upgrade feature of the Adrenaline GTS 23 shoes?,The new Adrenaline GTS 23 features lightweight DNA LOFT v2 cushioning for plush softness without heaviness.,"The main upgrade feature of the Adrenaline GTS 23 shoes is the updated midsole which features soft and lighter weight DNA LOFT v2 cushioning, providing plush softness without heaviness. Additionally, it includes the GuideRails® holistic support system that supports the body's natural motion path while keeping excess movement in check.",5,5,5,4,4.75,5,3,"The generated answer is fully supported by the retrieved context, accurately describing the main upgrade feature of the Adrenaline GTS 23 shoes. It directly addresses the question and covers all key points from the gold answer. However, while most citations are accurate, the citation from chunk ID [1] is less relevant to the specific feature discussed.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
5,analytical,"How does the incorporation of recycled materials impact the overall branding strategy of the footwear product, particularly in relation to environmental concerns?","The use of recycled materials in the footwear product aligns the brand with environmentally conscious consumers, potentially enhancing its appeal and marketability. It suggests a commitment to sustainability, which can differentiate the product in a competitive market. This strategy may also improve brand loyalty among consumers who prioritize eco-friendly practices, thereby indicating that the brand is adapting to changing consumer values regarding environmental responsibility.","The incorporation of recycled materials in the footwear product positively impacts the overall branding strategy by aligning the product with environmental concerns. For instance, the use of TrailTack Green, which includes recycled content and requires less material, emphasizes the brand's commitment to sustainability while maintaining performance standards. Additionally, the footwear is made with recycled materials equivalent to 12 plastic water bottles, showcasing a tangible effort to reduce environmental impact. This focus on eco-friendliness can enhance brand perception among environmentally conscious consumers, thereby strengthening the brand's identity and appeal in a competitive market.",4,5,4,2,3.75,5,2,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding specific materials. It directly addresses the question and covers most key points from the gold answer, but it lacks accurate citations from the retrieved context, as the cited chunks do not fully support the claims made about recycled materials.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
6,analytical,How do the features of the Cascadia 17 and Divide 4 shoes reflect the differing needs of trail runners compared to those who transition between road and trail running?,"The Cascadia 17 is designed for serious trail runners who require advanced stability and protection on uneven surfaces, as indicated by its Trail Adapt System and heavy-duty traction features. In contrast, the Divide 4 is tailored for runners who need a versatile shoe that can seamlessly transition between road and light trails, emphasizing comfort and adaptability with its road shoe-inspired fit and DNA LOFT midsole technology. This distinction highlights the specific demands of trail running, which involves varying terrains, versus the more consistent conditions faced by road runners.","The features of the Cascadia 17 and Divide 4 shoes reflect the differing needs of trail runners and those who transition between road and trail running through their design and technology. The Cascadia 17 is specifically built for trail runners, featuring the Trail Adapt System that integrates DNA LOFT v2 cushioning, a ballistic rock shield, and zonal outsole pods to provide stability and adaptability on uneven surfaces. It also includes TrailTack Rubber for heavy-duty traction on slippery and rocky terrains, and the GTX version offers waterproof protection for wet conditions. In contrast, the Divide 4 is designed for runners who switch between road and trail, offering a road shoe-inspired fit and DNA LOFT midsole technology for impact absorption and a smooth ride on both surfaces. Its aggressive lugging and TrailTack Rubber outsole provide adequate traction for light trail terrains, while the GTX version also features breathable waterproof protection. Thus, the Cascadia 17 focuses on stability and protection for challenging trails, while the Divide 4 emphasizes versatility and comfort for mixed terrain running.",4,5,5,3,4.25,5,3,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the specific features of the shoes. It directly addresses the question and covers all key points from the gold answer. However, the citations include some inaccuracies, as not all cited chunks provide relevant information about the shoes' features.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
7,analytical,How does the design philosophy of the Divide 4 GTX and Cascadia 17 reflect a growing trend towards sustainability in outdoor footwear?,"The design of both the Divide 4 GTX and Cascadia 17 incorporates recycled materials and sustainable production practices, such as the use of 25% recycled content in the TrailTack Rubber and the PriintDyed upper, which significantly reduces water and energy consumption. This shows an industry shift towards environmentally conscious manufacturing, appealing to consumers who value sustainability alongside performance.","The design philosophy of the Divide 4 GTX and Cascadia 17 reflects a growing trend towards sustainability in outdoor footwear through several innovative features. The Cascadia 17 incorporates TrailTack Rubber made of 25% recycled content, which provides necessary traction while being environmentally friendly. Additionally, the Cascadia 17 is made with recycled materials equivalent to 10 plastic water bottles, and the GTX version uses materials equivalent to 11 bottles. The Divide 4 GTX also features a lightweight, breathable GORE-TEX® waterproof protection, contributing to its durability and longevity. Furthermore, the Cascadia 17 employs a PriintDyed upper that saves 66% of the energy and 75% of the water required for traditional dye processes. These elements showcase a commitment to reducing environmental impact while maintaining performance and durability in outdoor footwear.",4,5,4,2,3.75,5,2,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the specific recycled content and water bottles. It directly addresses the question and covers most key points from the gold answer, but the citations are not accurate or relevant to the claims made.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
8,multi-hop,"How do the new footwear technologies and apparel features introduced in Fall 2023 address the needs of runners in varying environments, both on the road and trail?","The new footwear technologies, such as the lightweight DNA LOFT v2 midsole and GuideRails® System in the Adrenaline GTS 23 for road running, provide support and a smooth ride, while the Cascadia 17's Trail Adapt System offers stability and impact absorption for trail running. Additionally, the apparel features, like the thermoregulating fabric in High Point apparel and waterproof protection in the Cascadia 17 GTX, enhance comfort and safety for runners facing different weather conditions and terrains, ensuring they are well-equipped regardless of the environment.","The Fall 2023 footwear technologies and apparel features address the needs of runners in varying environments through several innovations. For road running, the updated Adrenaline GTS 23 incorporates lightweight DNA LOFT v2 midsole technology and the GuideRails® System, which supports the body's natural motion path for a smooth ride. The Hyperion and Hyperion GTS models offer a lightweight, responsive ride ideal for fast runs. For trail running, the Cascadia 17 features the new Trail Adapt System, providing stability and protection on uneven surfaces, while the Divide 4 allows easy transition from road to trail with its DNA LOFT midsole technology. Both the Cascadia 17 GTX and Divide 4 GTX include GORE-TEX® waterproof protection for wet conditions. Additionally, the High Point apparel line includes thermoregulating fabrics and waterproof pants, ensuring runners are protected against the elements, while the Run Visible Collection enhances visibility for night running.",5,5,5,3,4.5,5,2,"The generated answer is fully supported by the retrieved context and directly addresses the question about footwear technologies and apparel features for runners. It covers all key points from the gold answer, including specific technologies and their benefits. However, the citation quality is somewhat lacking as the cited chunks do not directly support all claims made in the answer.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
9,multi-hop,"How do the features of the Adrenaline GTS 23 and Glycerin 20 running shoes enhance the running experience, and what specific technologies contribute to their performance according to the passages?","Both the Adrenaline GTS 23 and Glycerin 20 running shoes focus on providing superior comfort and support for runners. The Adrenaline GTS 23 employs a lightweight DNA LOFT v2 cushioning system combined with the GuideRails® system to ensure plush softness and necessary support by aligning the body in its natural motion path. In contrast, the Glycerin 20 features nitrogen-infused DNA LOFT v3 cushioning for enhanced lightweight, responsiveness, and durability, along with a redesigned midsole for smoother transitions. Together, these technologies in both shoes provide a distraction-free, comfortable running experience.","The Adrenaline GTS 23 enhances the running experience through its lightweight DNA LOFT v2 cushioning, which provides plush softness without added weight. Additionally, the GuideRails® holistic support system aligns the body in its natural motion path, offering necessary support and creating a smooth, distraction-free ride. The Glycerin 20 features nitrogen-infused DNA LOFT v3 cushioning, which is optimized to be lightweight, responsive, and durable, ensuring supreme comfort. It also has a redesigned midsole and outsole that provide a widened platform for smoother transitions, along with an engineered air-mesh upper for a secure fit. Together, these technologies contribute to a cushioned, supportive, and comfortable running experience for both shoes.",5,5,5,4,4.75,5,4,"The generated answer is fully supported by the retrieved context, accurately reflecting the features and technologies of both the Adrenaline GTS 23 and Glycerin 20 shoes. It directly addresses the question and covers all key points from the gold answer. However, while most citations are accurate, there is a minor issue with the citation quality as not all cited chunks directly relate to the specific technologies mentioned.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
10,boundary,What specific features of the updated Adrenaline GTS 23 and the Cascadia 17 are highlighted in the Fall 2023 footwear collection?,"The Adrenaline GTS 23 features lightweight DNA LOFT v2 midsole technology and the GuideRails® System for a smooth, supported ride, while the Cascadia 17 includes the Trail Adapt System and a DNA LOFT v2 midsole for a stable ride on trails.","The updated Adrenaline GTS 23 features lightweight DNA LOFT v2 midsole technology, an innovative GuideRails® System that supports the body's natural motion path, and an engineered air mesh upper for comfort and breathability. Additionally, it is made with recycled materials equivalent to 9 plastic water bottles. The Cascadia 17 includes the new Trail Adapt System for a stable ride, a DNA LOFT v2 midsole that integrates with an articulated rock plate and zonal outsole pods, and a GORE-TEX® upper for waterproof protection.",4,5,4,3,4.0,5,3,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the engineered air mesh upper and recycled materials for the Adrenaline GTS 23. It directly addresses the question and covers most key points, but the citations are not fully accurate as they do not support all claims made in the answer.",BROOKS-102422-F23_Footwear__parser_pymupdf__cs512__ov128,ada-002,gpt-4o-mini
