question_id,question_type,question,gold_answer,generated_answer,faithfulness,relevance,completeness,citation_quality,avg_score,num_retrieved,num_cited,explanation,chunk_config,embedding_model,llm_model
0,factual,What is the purpose of the Statistical Year Book prepared by the Executive Office for Immigration Review?,The Statistical Year Book has been prepared as a public service and is strictly informational in nature.,"The purpose of the Statistical Year Book prepared by the Executive Office for Immigration Review (EOIR) is to serve as a public service and provide strictly informational content. It is not intended to be regarded as legal advice or authority, nor does it modify or interpret any existing legal authority. The Year Book is updated annually and contains various statistics related to immigration courts and proceedings.",5,5,4,4,4.5,5,2,"The generated answer is fully supported by the retrieved context, accurately reflecting the purpose of the Statistical Year Book as strictly informational. It directly addresses the question and includes relevant details, although it could have mentioned the annual update more explicitly as a key point.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
1,factual,What is the purpose of the Statistical Year Book published by EOIR?,The Statistical Year Book is strictly informational in nature and should not be regarded as legal advice or authority.,"The purpose of the Statistical Year Book published by the Executive Office for Immigration Review (EOIR) is to provide information strictly for public service and is intended to be informational in nature. It should not be regarded as legal advice or authority, nor should it modify or interpret any existing legal authority. The Year Book is updated annually and contains various statistical data related to immigration courts and proceedings.",5,5,4,4,4.5,5,2,"The generated answer is fully supported by the retrieved context, accurately reflecting the purpose of the Statistical Year Book as strictly informational and not legal advice. It directly addresses the question and provides relevant details, though it could have mentioned the annual update explicitly as a key point.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
2,factual,What is the title of Figure 15 in the FY 2010 Statistical Year Book?,FY 2010 Asylum Grants by Nationality,The title of Figure 15 in the FY 2010 Statistical Year Book is 'FY 2010 Asylum Grants by Nationality'.,5,5,5,4,4.75,5,1,"The generated answer is completely supported by the retrieved context, accurately stating the title of Figure 15. It directly addresses the question and covers all key points from the gold answer. However, the citation quality is slightly lower because the specific citation for Figure 15 was not explicitly included in the retrieved context, even though the answer is correct.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
3,factual,What figure shows the percentage of completions with applications in Immigration Court Proceedings?,Figure 22,"Figure 22 shows that in FY 2010, 25 percent of proceedings completed at the immigration courts had an application for relief.",5,5,5,4,4.75,5,3,"The generated answer is fully supported by the retrieved context, accurately referencing Figure 22 and providing the correct percentage of completions with applications. It directly addresses the question asked and covers all key points from the gold answer. However, while the citations are mostly accurate, there is a minor issue with the citation quality as not all relevant chunks were cited.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
4,factual,What is the title of Table 8 in the FY 2010 Statistical Year Book?,FY 2010 Asylum Grant Rate by Immigration Court,The title of Table 8 in the FY 2010 Statistical Year Book is 'FY 2010 Asylum Grant Rate by Immigration Court'.,5,5,5,4,4.75,5,1,"The generated answer is completely supported by the retrieved context, accurately stating the title of Table 8 as found in the FY 2010 Statistical Year Book. It directly addresses the question asked and covers all key points from the gold answer. However, the citation quality is slightly lower as it references a chunk that does not explicitly contain the title of Table 8, but the answer itself is correct.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
5,analytical,"What trends can be inferred from the relief granted to lawful and non-lawful permanent residents over the fiscal years from 2006 to 2010, and what might these trends suggest about the changing immigration policies or enforcement during that period?","The data shows a general decrease in the relief granted to lawful permanent residents, particularly in 'Adjustment of Status' and 'Cancellation of Removal' for lawful residents, while non-lawful permanent residents experienced fluctuations but a notable drop in relief granted by FY 2008. This could suggest that immigration policies became more restrictive over these years, potentially due to increased enforcement or changing priorities in immigration law, indicating a shift towards a tougher stance on immigration during this period.","From the relief granted to lawful and non-lawful permanent residents between fiscal years 2006 and 2010, several trends can be observed. For lawful permanent residents, the number of grants for adjustment of status and cancellation of removal showed a decline from 2006 to 2008, followed by a slight increase in 2009 and 2010. Specifically, the total grants for lawful permanent residents decreased from 1,437 in FY 2006 to 857 in FY 2009, then remained stable at 857 in FY 2010. In contrast, the relief granted to non-lawful permanent residents showed fluctuations, with a peak in FY 2006 (3,138 grants) and a gradual decrease until FY 2009 (3,477 grants), followed by an increase to 3,982 in FY 2010. This pattern suggests that while the overall relief granted to lawful permanent residents may have been affected by stricter immigration policies or enforcement, the relief for non-lawful permanent residents might indicate a more complex approach, possibly reflecting changing priorities or the impact of specific legislative measures such as IIRIRA. The annual cap of 4,000 on adjustments for lawful permanent residents could also have influenced these trends, as it limits the number of individuals who can receive relief under certain provisions.",4,5,4,3,4.0,5,3,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the trends. It directly addresses the question and covers most key points from the gold answer, though it could have included more specific data from the retrieved context. The citations are somewhat accurate but could be improved for better alignment with the claims made.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
6,analytical,What implications can be drawn from the trend of decreasing case completions despite an increase in case receipts from FY 2009 to FY 2010 for the Board of Immigration Appeals?,"The trend suggests that while more cases are being filed with the BIA, the agency may be facing challenges in processing these cases efficiently, potentially leading to a backlog. This could indicate resource constraints or changes in procedural complexities that hinder timely completions, which might affect the overall effectiveness and responsiveness of the immigration appeals process.","The trend of decreasing case completions despite an increase in case receipts from FY 2009 to FY 2010 for the Board of Immigration Appeals (BIA) suggests a growing backlog or inefficiency in processing appeals. While receipts of appeals from DHS decisions increased significantly (99% overall and 115% for visa petitions), the completions remained relatively stable, indicating that the BIA may be struggling to keep up with the influx of new cases. This could lead to longer wait times for decisions and potentially impact the overall effectiveness of the appeals process. Additionally, the overall decrease in completions of appeals from immigration judge decisions from FY 2006 to FY 2010 further highlights a concerning trend in the BIA's ability to manage its caseload effectively.",4,5,4,4,4.25,5,4,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the implications of the trends. It directly addresses the question and covers most key points from the gold answer, although it could have included more specific details about procedural complexities. The citations are mostly accurate and relevant to the claims made in the answer.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
7,analytical,"What trends can be inferred about the relationship between the number of receipts and completions from the BIA over the fiscal years 2006 to 2010, and what might this imply about the efficiency of the immigration review process during this period?","The data shows that while receipts generally declined from FY 06 to FY 09, there was a significant increase in receipts in FY 10, yet completions remained relatively stable and did not keep pace with the increase in receipts. This suggests that the immigration review process may have faced challenges in maintaining efficiency, particularly in FY 10, when the backlog of cases could have increased due to the surge in new receipts, implying potential delays in the adjudication of appeals.","From FY 2006 to FY 2009, the number of receipts for BIA cases decreased by 17%, while completions decreased by 20%. This trend suggests a growing backlog or inefficiency in processing cases, as the rate of completions did not keep pace with the decline in receipts. In FY 2010, receipts increased again, but completions remained relatively stable. This could imply that while there was a temporary increase in cases received, the efficiency of the immigration review process did not improve significantly, as the number of completions did not rise correspondingly. Overall, the data indicates a concerning trend of decreasing efficiency in the immigration review process during this period, particularly in the handling of appeals from immigration judge decisions, which saw a 19% decrease in receipts and a 25% decrease in completions from FY 2006 to FY 2010.",4,5,4,3,4.0,5,3,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the specific percentages of decrease in receipts and completions. It directly addresses the question and covers most key points from the gold answer, but some citation inaccuracies were noted, particularly in the interpretation of the data trends.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
8,multi-hop,"How does the FY 2010 Statistical Year Book inform readers about the immigration court system's performance in terms of asylum cases, and what does it highlight regarding the representation status and nationality of applicants?","The FY 2010 Statistical Year Book provides detailed statistics on immigration court matters, particularly focusing on asylum cases, including the number of cases received and completed, the grant rates by nationality, and the outcomes based on representation status. It emphasizes the importance of understanding the demographics of applicants and their chances of success, illustrating how these factors influence the overall performance of the immigration judicial system.","The FY 2010 Statistical Year Book provides insights into the immigration court system's performance regarding asylum cases. It highlights that asylum applications filed with immigration courts decreased by 42 percent from FY 2006 to FY 2010, with affirmative receipts decreasing by 35 percent and defensive receipts by 56 percent. In FY 2010, the grant rate for asylum applications was 51 percent, with 61 percent for affirmative applications and 35 percent for defensive applications. Additionally, it notes that 43 percent of aliens whose cases were completed in immigration courts were represented. The leading nationalities of immigration court completions during FY 2010 included Mexico, Guatemala, El Salvador, Honduras, and China, which together represented 67 percent of the total caseload.",4,5,4,4,4.25,5,2,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the percentage decrease in asylum applications. It directly addresses the question and covers most key points from the gold answer, although it could include more context about the influence of representation status on outcomes. The citations are mostly accurate and relevant to the information presented.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
9,multi-hop,"How did the trends in immigration court receipts and completions from FY 2006 to FY 2010 differ by nationality, and what impact did these trends have on the representation and outcomes of asylum cases during that period?","Between FY 2006 and FY 2010, immigration court receipts increased by 12 percent, while completions decreased by four percent, with Mexico, Guatemala, El Salvador, Honduras, and China representing 67 percent of the total caseload in FY 2010. Additionally, 43 percent of completed cases had representation, and the asylum grant rate was 51 percent, indicating that trends in nationality and representation directly influenced case outcomes and the overall efficiency of the immigration court system.","From FY 2006 to FY 2010, immigration court receipts increased by 12 percent, while completions decreased by four percent. Asylum applications specifically saw a significant decline, with total receipts decreasing by 42 percent and completions by 30 percent during the same period. The leading nationalities for immigration court completions in FY 2010 included Mexico, Guatemala, El Salvador, Honduras, and China, which represented 67 percent of the total caseload. In FY 2010, 43 percent of aliens whose cases were completed were represented. The grant rate for asylum applications was 51 percent in FY 2010, with a higher grant rate of 61 percent for affirmative applications compared to 35 percent for defensive applications. The percentage of asylum cases granted either asylum or withholding of removal was 60 percent in FY 2010. This decline in asylum applications and completions, along with the representation rates, likely impacted the outcomes of asylum cases during this period.",4,5,4,4,4.25,5,3,"The generated answer is mostly supported by the retrieved context, with minor unsupported details regarding the decline in asylum applications and completions. It directly addresses the question and covers most key points from the gold answer, although it introduces some additional statistics that are not fully substantiated by the retrieved context. The citations are mostly accurate and relevant to the information presented.",fy10syb__parser_pdfplumber__cs512__ov128,ada-002,gpt-4o-mini
