qa_id,K,precision,recall,mrr,gold,topk
7f3220ba-2ee2-491f-9b43-e28dc847d10a,5,0.2,1.0,0.2,sample__cs256__ov64__b0__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
33278a23-fa8c-4d2a-ab6f-8b39a32456ee,5,0.2,0.5,0.3333,sample__cs256__ov64__b0__w0|sample__cs256__ov64__b1__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
afe1ac6c-26e4-495d-8cf8-4d6f51681e61,5,0.2,0.3333,0.25,sample__cs256__ov64__b0__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b2__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b7__w0
b6e3777e-3750-4f52-a58d-e73031d02e64,5,0.2,1.0,0.3333,sample__cs256__ov64__b1__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
d247c217-8572-4102-866a-ecc6bb71cb6b,5,0.2,0.5,0.3333,sample__cs256__ov64__b1__w0|sample__cs256__ov64__b2__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
d818f568-a229-466f-a422-680736e7df67,5,0.0,0.0,0.0,sample__cs256__ov64__b2__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
d66cf25c-1ac1-4044-8f7e-d097f0e76086,5,0.2,0.5,0.25,sample__cs256__ov64__b2__w0|sample__cs256__ov64__b3__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
144cfbd4-9aea-489c-b068-ac0102dd7a16,5,0.2,1.0,1.0,sample__cs256__ov64__b3__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
30547214-f20d-410b-87cd-fb7ba2655ba1,5,0.2,0.5,0.25,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b4__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
937e40ca-c7f6-49f5-a7e0-83fe599e63e9,5,0.4,0.6667,1.0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b4__w0|sample__cs256__ov64__b5__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b7__w0
ac665967-493d-4ab4-bfd8-6d964806c1fc,5,0.0,0.0,0.0,sample__cs256__ov64__b4__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
27760233-8d4c-4395-a28b-167e6b8d284e,5,0.2,0.5,0.5,sample__cs256__ov64__b4__w0|sample__cs256__ov64__b5__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
0ddc07d5-d7c3-4b51-a51f-5d3c39c42afb,5,0.2,1.0,0.5,sample__cs256__ov64__b5__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
02171ba3-f36b-43ee-9649-67b8bc05ed91,5,0.2,0.5,0.5,sample__cs256__ov64__b5__w0|sample__cs256__ov64__b6__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
671dcf79-da19-4f25-b9ab-97bd67866610,5,0.0,0.0,0.0,sample__cs256__ov64__b6__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
b1876181-80f3-4075-8533-6aacde81db7c,5,0.2,0.5,0.2,sample__cs256__ov64__b6__w0|sample__cs256__ov64__b7__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
26d3e226-dca3-4a08-aab7-51088faaa619,5,0.2,0.3333,0.2,sample__cs256__ov64__b6__w0|sample__cs256__ov64__b7__w0|sample__cs256__ov64__b8__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b7__w0
efcc9642-03a0-46c8-a182-26012a831d83,5,0.0,0.0,0.0,sample__cs256__ov64__b7__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
31f81742-55cd-471e-b4aa-77912bae16ce,5,0.2,0.5,0.2,sample__cs256__ov64__b7__w0|sample__cs256__ov64__b8__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
056112f1-7cfe-4580-80e1-b7c3e6cbf7f1,5,0.0,0.0,0.0,sample__cs256__ov64__b8__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
d772eca0-c6ad-4fe8-bf21-3c145ce4630e,5,0.2,0.5,1.0,sample__cs256__ov64__b8__w0|sample__cs256__ov64__b9__w0,sample__cs256__ov64__b9__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b3__w0|sample__cs256__ov64__b7__w0
6c80ed88-0ce6-4134-877f-46cf51bfd639,5,0.2,1.0,0.25,sample__cs256__ov64__b9__w0,sample__cs256__ov64__b3__w0|sample__cs256__ov64__b5__w0|sample__cs256__ov64__b1__w0|sample__cs256__ov64__b9__w0|sample__cs256__ov64__b0__w0
