question_id,question,question_type,difficulty,gold_chunk_ids,retrieved_chunk_ids,scores,chunk_config,embedding_model,recall@1,precision@1,mrr@1,recall@3,precision@3,mrr@3,recall@5,precision@5,mrr@5,recall@10,precision@10,mrr@10
0,What season is indicated in the text for the footwear?,factual,easy,[0],"[1, 498, 0, 503, 513, 274, 474, 494, 519, 422]","[0.8520830869674683, 0.8263833522796631, 0.8252288699150085, 0.8218979835510254, 0.821558952331543, 0.8210207223892212, 0.8189970850944519, 0.8188021183013916, 0.8187360763549805, 0.8172426223754883]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,1.0,0.1,0.3333333333333333
1,What is one of the categories listed in the Fall 23 Footwear contents?,factual,easy,[1],"[1, 0, 498, 503, 125, 164, 115, 209, 519, 474]","[0.879203736782074, 0.833930492401123, 0.8276283144950867, 0.825287938117981, 0.8251419067382812, 0.8243523836135864, 0.824138343334198, 0.823860764503479, 0.8237119317054749, 0.8228272199630737]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0
2,What technology is featured in the updated Adrenaline GTS 23 footwear?,factual,medium,[2],"[11, 419, 2, 95, 93, 110, 108, 363, 471, 230]","[0.8786505460739136, 0.866523802280426, 0.8660063147544861, 0.8638777732849121, 0.8625522255897522, 0.8604530096054077, 0.8580860495567322, 0.8457391262054443, 0.845625638961792, 0.8455377221107483]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,1.0,0.1,0.3333333333333333
3,What technology does the Hyperion and Hyperion GTS use to support a smooth ride?,factual,medium,[3],"[190, 191, 3, 213, 210, 568, 11, 363, 153, 230]","[0.8631493449211121, 0.860382080078125, 0.8570603728294373, 0.8466434478759766, 0.8319783210754395, 0.806451141834259, 0.804056704044342, 0.8013150691986084, 0.7991599440574646, 0.7988321185112]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,1.0,0.1,0.3333333333333333
4,What technology does the Cascadia 17 feature that enhances stability during a run?,factual,easy,[4],"[305, 3, 4, 315, 308, 311, 304, 5, 314, 190]","[0.8729649782180786, 0.8566194176673889, 0.8527476787567139, 0.823966383934021, 0.8215867280960083, 0.8179912567138672, 0.8139408230781555, 0.8130866289138794, 0.8102707266807556, 0.8074082732200623]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,1.0,0.1,0.3333333333333333
5,What implications can be drawn about the product release strategy for the Levitate GTS 6 based on the information provided regarding the style numbers and release dates?,analytical,medium,[293],"[471, 10, 292, 294, 293, 289, 272, 421, 282, 569]","[0.8469582796096802, 0.8306674957275391, 0.8305387496948242, 0.8300775289535522, 0.8139373660087585, 0.8088834285736084, 0.8025317192077637, 0.8022609949111938, 0.8013972640037537, 0.7988741397857666]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,1.0,0.1,0.2
6,"What implications might the midsole height and offset of the Levitate GTS 6 have on a runner's performance and comfort, considering the target audience of women?",analytical,medium,[294],"[289, 294, 286, 293, 419, 93, 228, 161, 108, 11]","[0.8597806692123413, 0.8585696220397949, 0.8535541296005249, 0.8484612107276917, 0.847182035446167, 0.8471726775169373, 0.8471434712409973, 0.8460692167282104, 0.8451473712921143, 0.8450981378555298]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,0.2,0.5,1.0,0.1,0.5
7,How does the combination of updated fit construction and environmentally friendly materials in the EZIGRENE and ENERGIZE shoes reflect current trends in consumer preferences for athletic footwear?,analytical,medium,[295],"[291, 295, 266, 281, 286, 276, 271, 268, 296, 288]","[0.8849892020225525, 0.878088116645813, 0.8765112161636353, 0.8743715286254883, 0.8694350719451904, 0.8676735162734985, 0.8634749054908752, 0.8633893132209778, 0.8619533181190491, 0.8584299683570862]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,0.2,0.5,1.0,0.1,0.5
8,"How does the updated Adrenaline GTS 23 footwear in Passage 3 align with the overall theme of Fall 23 footwear presented in Passages 1 and 2, considering the planned innovations and changes in design and technology?",multi-hop,hard,"[0, 1, 2]","[11, 2, 419, 95, 93, 1, 110, 476, 108, 471]","[0.8630169630050659, 0.856782078742981, 0.845971405506134, 0.8427409529685974, 0.8417397737503052, 0.8408867716789246, 0.8403307795524597, 0.8388643264770508, 0.8387015461921692, 0.8371192216873169]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.2,0.5,0.6666666666666666,0.2,0.5
9,"How do the features of the Cascadia 17 and Divide 4 footwear enhance performance for trail runners, and what apparel complements these features for varying weather conditions?",multi-hop,hard,"[3, 4, 5]","[4, 5, 305, 306, 304, 307, 3, 315, 308, 348]","[0.8901216387748718, 0.8848315477371216, 0.8839908838272095, 0.8824031352996826, 0.8797721862792969, 0.8526555299758911, 0.8452054858207703, 0.8429718613624573, 0.8416663408279419, 0.8365853428840637]",BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.4,1.0,1.0,0.3,1.0
