chunk_config,embedding_model,num_questions,recall@1,precision@1,mrr@1,recall@3,precision@3,mrr@3,recall@5,precision@5,mrr@5,recall@10,precision@10,mrr@10,factual_count,factual_recall@1,factual_recall@3,factual_recall@5,factual_recall@10,analytical_count,analytical_recall@1,analytical_recall@3,analytical_recall@5,analytical_recall@10,multi-hop_count,multi-hop_recall@1,multi-hop_recall@3,multi-hop_recall@5,multi-hop_recall@10,boundary_count,boundary_recall@1,boundary_recall@3,boundary_recall@5,boundary_recall@10
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,ada-002,12,0.15277777777777776,0.25,0.25,0.7916666666666666,0.3611111111111111,0.5277777777777778,0.875,0.23333333333333336,0.5444444444444444,0.9305555555555555,0.13333333333333333,0.5444444444444444,5,0.2,1.0,1.0,1.0,3,0.0,0.6666666666666666,1.0,1.0,2,0.16666666666666666,0.5,0.5,0.8333333333333333,2,0.25,0.75,0.75,0.75
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,openai-large,12,0.23611111111111113,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.24999999999999997,0.4583333333333333,0.5555555555555556,0.15,0.4583333333333333,0.7222222222222223,0.09166666666666667,0.47685185185185186,5,0.4,0.8,0.8,0.8,3,0.0,0.3333333333333333,0.3333333333333333,1.0,2,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.25,0.5,0.5,0.5
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs128__ov32,openai-small,12,0.23611111111111113,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.24999999999999997,0.4305555555555555,0.5833333333333334,0.16666666666666666,0.45138888888888884,0.75,0.09999999999999999,0.47519841269841273,5,0.4,0.6,0.6,0.8,3,0.0,0.6666666666666666,0.6666666666666666,1.0,2,0.16666666666666666,0.3333333333333333,0.5,0.5,2,0.25,0.5,0.5,0.5
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs256__ov64,ada-002,12,0.3611111111111111,0.4166666666666667,0.4166666666666667,0.47222222222222215,0.2222222222222222,0.5277777777777778,0.611111111111111,0.18333333333333335,0.548611111111111,0.6666666666666666,0.10833333333333335,0.548611111111111,5,0.6,0.6,0.8,0.8,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.16666666666666666,0.3333333333333333,0.6666666666666666,1.0,2,0.0,0.5,0.5,0.5
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs256__ov64,openai-large,12,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.48611111111111116,0.25,0.4583333333333333,0.625,0.20000000000000004,0.47500000000000003,0.625,0.10000000000000002,0.47500000000000003,5,0.4,0.6,0.8,0.8,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.16666666666666666,0.6666666666666666,1.0,1.0,2,0.0,0.25,0.25,0.25
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs256__ov64,openai-small,12,0.3611111111111111,0.4166666666666667,0.4166666666666667,0.48611111111111116,0.25,0.5,0.625,0.20000000000000004,0.5166666666666667,0.75,0.1166666666666667,0.5398148148148149,5,0.6,0.6,0.8,0.8,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,0.16666666666666666,0.6666666666666666,1.0,1.0,2,0.0,0.25,0.25,0.5
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs512__ov128,ada-002,12,0.3055555555555556,0.5,0.5,0.4861111111111111,0.27777777777777773,0.5416666666666666,0.4861111111111111,0.16666666666666666,0.5416666666666666,0.7222222222222223,0.11666666666666665,0.5592592592592592,5,0.4,0.4,0.4,0.6,3,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,2,0.5,0.75,0.75,1.0
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs512__ov128,openai-large,12,0.2638888888888889,0.4166666666666667,0.4166666666666667,0.4444444444444444,0.24999999999999997,0.4583333333333333,0.5277777777777778,0.16666666666666666,0.4791666666666667,0.8472222222222223,0.12500000000000003,0.52255291005291,5,0.4,0.6,0.6,0.8,3,0.0,0.0,0.3333333333333333,1.0,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,2,0.25,0.5,0.5,0.75
BROOKS-102422-F23_Footwear__parser_pdfplumber__cs512__ov128,openai-small,12,0.3055555555555556,0.5,0.5,0.5694444444444445,0.3055555555555555,0.5694444444444444,0.6944444444444445,0.21666666666666665,0.5902777777777778,0.6944444444444445,0.10833333333333332,0.5902777777777778,5,0.4,0.4,0.6,0.6,3,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.5,0.75,1.0,1.0
BROOKS-102422-F23_Footwear__parser_pymupdf__cs128__ov32,ada-002,12,0.2777777777777778,0.4166666666666667,0.4166666666666667,0.7083333333333334,0.3333333333333333,0.611111111111111,0.7083333333333334,0.20000000000000004,0.611111111111111,0.888888888888889,0.13333333333333333,0.6203703703703703,5,0.4,0.8,0.8,1.0,3,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.16666666666666666,0.5,0.5,0.8333333333333333,2,0.5,0.75,0.75,1.0
BROOKS-102422-F23_Footwear__parser_pymupdf__cs128__ov32,openai-large,12,0.3055555555555556,0.5,0.5,0.5833333333333334,0.2777777777777778,0.611111111111111,0.5833333333333334,0.16666666666666666,0.611111111111111,0.6944444444444445,0.10000000000000002,0.625,5,0.4,0.8,0.8,0.8,3,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,0.3333333333333333,0.5,0.5,0.6666666666666666,2,0.5,0.5,0.5,0.5
BROOKS-102422-F23_Footwear__parser_pymupdf__cs128__ov32,openai-small,12,0.3888888888888889,0.5833333333333334,0.5833333333333334,0.6388888888888888,0.27777777777777785,0.6805555555555555,0.6666666666666666,0.18333333333333338,0.6805555555555555,0.6944444444444445,0.10000000000000002,0.6805555555555555,5,0.4,0.8,0.8,0.8,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,2,0.5,0.5,0.5,0.5
